"seriesType","seriesID","seriesName","year","monthNumber","unit","value"
"Producer Price Index","WPU02840102","Canned dry beans","2025",6,"Base 1982=100",214.2
"Producer Price Index","WPU02890172","Chips (potato, corn, etc.)","2025",6,"Base 1985=100",315.1
"Average retail price","APU0000711211","Bananas","2025",5,"Dollars per pound",0.655
"Average retail price","APU0000711311","Oranges, navel","2025",5,"Dollars per pound",1.564
"Average retail price","APU0000711411","Grapefruit","2025",5,"Dollars per pound",1.675
"Average retail price","APU0000711412","Lemons","2025",5,"Dollars per pound",1.897
"Average retail price","APU0000711415","Strawberries","2025",5,"Dollars per 12 oz.",2.397
"Average retail price","APU0000712112","Potatoes, white","2025",5,"Dollars per pound",0.958
"Average retail price","APU0000712211","Lettuce, iceberg","2025",5,"Dollars per pound",1.438
"Average retail price","APU0000712311","Tomatoes, field grown","2025",5,"Dollars per pound",1.705
