Year,Category,Data_item,Quantity,Units
2017,Miscellaneous,Imported cheese not from cows,0.304,pounds
2017,Miscellaneous,Total natural cheese,37.263,pounds
2017,Processed products,Cheese,5.172,pounds
2017,Processed products,"Cold pack, cheese foods, other foods, and spreads",1.941,pounds
2017,Processed products,Total processed,7.112,pounds
2018,American types,Cheddar,11.217,pounds
2018,American types,Other than Cheddar,4.186,pounds
2018,American types,Total,15.404,pounds
2018,Italian types,Mozzarella,12.215,pounds
2018,Italian types,Other than mozzarella,3.493,pounds
2018,Italian types,Total,15.707,pounds
2018,Other types of cheeses typically from cows,Swiss,1.079,pounds
2018,Other types of cheeses typically from cows,Blue,0.313,pounds
2018,Other types of cheeses typically from cows,Brick,0.006,pounds
2018,Other types of cheeses typically from cows,Muenster,0.541,pounds
2018,Other types of cheeses typically from cows,Cream and Neufchatel,2.59,pounds
2018,Other types of cheeses typically from cows,Hispanic,0.878,pounds
2018,Other types of cheeses typically from cows,Other,1.48,pounds
2018,Miscellaneous,"Total other-than-American cheese, excluding cheese not from cows",22.594,pounds
2018,Miscellaneous,Imported cheese not from cows,0.255,pounds
2018,Miscellaneous,Total natural cheese,38.253,pounds
2018,Processed products,Cheese,5.24,pounds
2018,Processed products,"Cold pack, cheese foods, other foods, and spreads",1.843,pounds
2018,Processed products,Total processed,7.084,pounds
2019,American types,Cheddar,11.16,pounds
2019,American types,Other than Cheddar,4.381,pounds
2019,American types,Total,15.541,pounds
2019,Italian types,Mozzarella,12.48,pounds
2019,Italian types,Other than mozzarella,3.397,pounds
2019,Italian types,Total,15.877,pounds
2019,Other types of cheeses typically from cows,Swiss,1.118,pounds
2019,Other types of cheeses typically from cows,Blue,0.311,pounds
2019,Other types of cheeses typically from cows,Brick,0.006,pounds
2019,Other types of cheeses typically from cows,Muenster,0.551,pounds
2019,Other types of cheeses typically from cows,Cream and Neufchatel,2.617,pounds
2019,Other types of cheeses typically from cows,Hispanic,0.93,pounds
2019,Other types of cheeses typically from cows,Other,1.384,pounds
2019,Miscellaneous,"Total other-than-American cheese, excluding cheese not from cows",22.794,pounds
2019,Miscellaneous,Imported cheese not from cows,0.27,pounds
2019,Miscellaneous,Total natural cheese,38.605,pounds
2019,Processed products,Cheese,4.641,pounds
2019,Processed products,"Cold pack, cheese foods, other foods, and spreads",2.347,pounds
2019,Processed products,Total processed,6.988,pounds
2020,American types,Cheddar,11.128,pounds
2020,American types,Other than Cheddar,4.333,pounds
2020,American types,Total,15.461,pounds
2020,Italian types,Mozzarella,12.194,pounds
2020,Italian types,Other than mozzarella,3.312,pounds
2020,Italian types,Total,15.506,pounds
2020,Other types of cheeses typically from cows,Swiss,1.042,pounds
2020,Other types of cheeses typically from cows,Blue,0.245,pounds
2020,Other types of cheeses typically from cows,Brick,0.005,pounds
2020,Other types of cheeses typically from cows,Muenster,0.523,pounds
2020,Other types of cheeses typically from cows,Cream and Neufchatel,2.786,pounds
2020,Other types of cheeses typically from cows,Hispanic,0.958,pounds
2020,Other types of cheeses typically from cows,Other,1.344,pounds
2020,Miscellaneous,"Total other-than-American cheese, excluding cheese not from cows",22.408,pounds
2020,Miscellaneous,Imported cheese not from cows,0.252,pounds
2020,Miscellaneous,Total natural cheese,38.121,pounds
2020,Processed products,Cheese,4.846,pounds
2020,Processed products,"Cold pack, cheese foods, other foods, and spreads",1.852,pounds
2020,Processed products,Total processed,6.697,pounds
2021,American types,Cheddar,11.519,pounds
2021,American types,Other than Cheddar,4.677,pounds
2021,American types,Total,16.196,pounds
2021,Italian types,Mozzarella,12.304,pounds
2021,Italian types,Other than mozzarella,3.571,pounds
2021,Italian types,Total,15.875,pounds
2021,Other types of cheeses typically from cows,Swiss,1.041,pounds
2021,Other types of cheeses typically from cows,Blue,0.285,pounds
2021,Other types of cheeses typically from cows,Brick,0.005,pounds
2021,Other types of cheeses typically from cows,Muenster,0.529,pounds
2021,Other types of cheeses typically from cows,Cream and Neufchatel,2.832,pounds
2021,Other types of cheeses typically from cows,Hispanic,0.972,pounds
2021,Other types of cheeses typically from cows,Other,1.541,pounds
2021,Miscellaneous,"Total other-than-American cheese, excluding cheese not from cows",23.08,pounds
2021,Miscellaneous,Imported cheese not from cows,0.285,pounds
