Product volumes (million pounds)              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more or less detail, click the appropriate outline symbol, 1 or 2, to the left of the Column letter A above.  
To expand or collapse data, click the + or - outline symbols.",,,,,,Back to content page,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 6
,"Yogurt, nonfrozen 4",,,,,,"1,837","2,003","2,311","2,507","2,707","3,058","3,301","3,476","3,570","3,839","4,181","4,271","4,417","4,715","4,757","4,646","4,458","4,478","4,453","4,378","4,510","4,744","4,466","4,590"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sour cream,,,,,,914,990,"1,031",935,987,"1,034","1,121","1,135","1,151","1,195","1,228","1,255","1,281","1,281","1,303","1,326","1,374","1,387","1,401","1,424","1,461","1,493","1,496","1,519"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Evaporated and condensed milk 5,,,,,,"1,688","1,613","1,840","1,783","1,726","1,898","2,027","2,424","2,371","2,308","2,362","2,355","2,415","2,437","2,311","2,601","2,522","2,367","2,357","2,328","2,389","2,269","2,172","2,253"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Canned milk,,,,,465,468,593,595,549,548,507,516,553,544,522,514,492,516,343,497,474,388,428,448,576,549,497,464
,,,"Whole, evaporated and condensed",,,,442,453,573,578,530,527,486,497,534,526,503,495,471,496,315,453,457,379,413,417,545,534,497,464
,,,"Skim, evaporated",,,,23,15,20,17,19,20,21,19,18,18,19,19,21,20,28,44,17,9,15,31,31,15,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bulk evaporated and condensed milk,,,,,"1,222","1,145","1,247","1,187","1,177","1,351","1,520","1,909","1,819","1,764","1,841","1,841","1,923","1,921","1,968","2,105","2,048","1,979","1,929","1,880","1,813","1,720","1,675","1,788"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bulk whole condensed milk,,,,146,140,133,204,193,191,185,185,216,198,169,147,183,165,154,274,214,205,217,219,169,169,151,164
,,,,"Whole, unsweetened, condensed",,,75,70,56,128,117,124,117,106,133,119,89,64,96,76,66,174,97,62,72,70,32,20,5,13
,,,,"Whole, sweetened, condensed",,,71,70,77,76,76,67,68,79,83,79,80,83,87,90,89,100,117,143,145,149,137,149,146,151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bulk skim condensed milk,,,,"1,057",970,"1,058",942,934,"1,082","1,242","1,668","1,538","1,515","1,596","1,618","1,659","1,661","1,705","1,725","1,728","1,661","1,589","1,551","1,545","1,469","1,444","1,543"
,,,,"Skim, unsweetened, condensed",,,"1,022",937,"1,036",919,904,"1,058","1,218","1,639","1,509","1,478","1,558","1,575","1,619","1,623","1,661","1,673","1,651","1,571","1,468","1,433","1,428","1,346","1,326","1,425"
,,,,"Skim, sweetened, condensed",,,35,33,22,23,31,24,23,29,29,36,38,43,40,38,44,53,77,90,121,119,118,123,118,118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Buttermilk, evaporated and condensed",,,,20,35,56,41,50,78,94,56,64,51,76,77,81,94,109,106,106,113,123,110,99,82,80,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cottage cheese,,,,,,735,742,748,770,779,785,778,774,714,731,719,704,709,678,668,681,697,675,695,686,671,642,638,713
,,Creamed,,,,,371,372,374,385,382,377,369,349,325,342,331,322,323,307,303,318,329,330,353,358,363,339,344,378
,,Low fat,,,,,364,370,374,384,396,408,409,425,389,389,388,381,386,370,365,363,368,344,342,328,309,303,294,335
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cream products,,,,,,"1,751","1,943","1,860","2,151","2,313","2,352","2,459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,Half and half,,,,,"1,008","1,146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,Light and heavy cream,,,,,743,797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA = not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Imports included in this table include dairy products assumed to be used as ingredients in domestically produced dairy products. It would be improper to add milk production (with a high water content) with imports of ingredients as displayed in this table (which includes only estimated milk solids).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Fluid milk volumes include only milk content, not other ingredients such as added sugar and flavorings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Net totals are provided for certain products in order to avoid duplicate accounting due to the use of dairy products as ingredients in other dairy products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 ""Yogurt, nonfrozen"" includes yogurt components used in production of yogurt beverages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 For evaporated and condensed milk, gross rather than net volumes are reported in this table. However, net volumes are reported in the tables for milk fat and skim solids. The primary data source used for net accounting provides utilization data for these products on a milk-solids basis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
