"Table","Year","Data_item","Region","State","Value","Units"
"Milk cows",1974,"Milk cows, average inventory","West Coast","Washington",181,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","West Coast","Total region",1069,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Other States","Alaska",1.7,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Other States","Hawaii",12.9,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Other States","Total region",14.6,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","United States","Total region",11230,"Thousand head"
"Milk cows",1975,"Milk cows, average inventory","Northeast","Connecticut",54,"Thousand head"
"Milk cows",1975,"Milk cows, average inventory","Northeast","Delaware",11.7,"Thousand head"
"Milk cows",1975,"Milk cows, average inventory","Northeast","Maine",61,"Thousand head"
"Milk cows",1975,"Milk cows, average inventory","Northeast","Maryland",141,"Thousand head"
"Milk cows",1975,"Milk cows, average inventory","Northeast","Massachusetts",55,"Thousand head"
"Milk cows",1975,"Milk cows, average inventory","Northeast","New Hampshire",33,"Thousand head"
"Milk cows",1975,"Milk cows, average inventory","Northeast","New Jersey",47,"Thousand head"
"Milk cows",1975,"Milk cows, average inventory","Northeast","New York",917,"Thousand head"
"Milk cows",1975,"Milk cows, average inventory","Northeast","Pennsylvania",699,"Thousand head"
"Milk cows",1975,"Milk cows, average inventory","Northeast","Rhode Island",6,"Thousand head"
